"","E_It","N","R0","k","inter_day","effect","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","sufficient_ncluster","adjusted_sufficient_ncluster"
"61",0.02,100,1.5,0.1,10,0.4,0.570153968253968,1.07813052622731,0.406538095238095,0.639335145827143,0.0141966666666667,8.22487384683783e-05,0.00915,0.000235255918639547,0.00671333333333333,0.000153515660775814,50,"907","4466.975"
"62",0.02,100,1.5,0.1,10,0.4,0.570153968253968,1.07813052622731,0.406538095238095,0.639335145827143,0.0141966666666667,8.22487384683783e-05,0.00915,0.000235255918639547,0.00671333333333333,0.000153515660775814,100,"345","1699.125"
"63",0.02,100,2,0.7,8,0.2,1.48490608465608,2.90729923947347,1.1807462962963,2.08997532975417,0.0172233333333333,0.000144504957207958,0.0256733333333333,0.00080788258308325,0.0205166666666667,0.000592497221295988,10,">=1000",">=1000"
"64",0.02,100,2,0.7,8,0.2,1.48490608465608,2.90729923947347,1.1807462962963,2.08997532975417,0.0172233333333333,0.000144504957207958,0.0256733333333333,0.00080788258308325,0.0205166666666667,0.000592497221295988,50,"564","1653.648"
"65",0.02,100,2,0.7,8,0.2,1.48490608465608,2.90729923947347,1.1807462962963,2.08997532975417,0.0172233333333333,0.000144504957207958,0.0256733333333333,0.00080788258308325,0.0205166666666667,0.000592497221295988,100,"314","920.648"
"66",0.02,100,2,0.7,8,0.4,1.46491951659452,2.87435647671288,0.962725613275613,1.45451206481856,0.0168533333333333,0.000142879448705124,0.0247,0.000769633211070357,0.0165933333333333,0.000431071646104257,10,"736","2095.88266666667"
"67",0.02,100,2,0.7,8,0.4,1.46491951659452,2.87435647671288,0.962725613275613,1.45451206481856,0.0168533333333333,0.000142879448705124,0.0247,0.000769633211070357,0.0165933333333333,0.000431071646104257,50,"201","572.381"
"68",0.02,100,2,0.7,8,0.4,1.46491951659452,2.87435647671288,0.962725613275613,1.45451206481856,0.0168533333333333,0.000142879448705124,0.0247,0.000769633211070357,0.0165933333333333,0.000431071646104257,100,"107","304.700333333333"
"69",0.02,100,2,0.4,8,0.2,1.26226058201058,2.69961558583097,1.02189312169312,1.93708159389291,0.01627,0.000123161487162387,0.02093,0.000648251183727909,0.0171966666666667,0.000492138701789485,10,">=1000",">=1000"
"70",0.02,100,2,0.4,8,0.2,1.26226058201058,2.69961558583097,1.02189312169312,1.93708159389291,0.01627,0.000123161487162387,0.02093,0.000648251183727909,0.0171966666666667,0.000492138701789485,50,"845","2656.11666666667"
"71",0.02,100,2,0.4,8,0.2,1.26226058201058,2.69961558583097,1.02189312169312,1.93708159389291,0.01627,0.000123161487162387,0.02093,0.000648251183727909,0.0171966666666667,0.000492138701789485,100,"455","1430.21666666667"
"72",0.02,100,2,0.4,8,0.4,1.27283085063085,3.11318825618258,0.810052238502239,1.31655940104034,0.0161066666666667,0.000123216361009225,0.0213133333333333,0.00074605717461376,0.0137866666666667,0.000355179548738468,10,"814","2546.73466666667"
"73",0.02,100,2,0.4,8,0.4,1.27283085063085,3.11318825618258,0.810052238502239,1.31655940104034,0.0161066666666667,0.000123216361009225,0.0213133333333333,0.00074605717461376,0.0137866666666667,0.000355179548738468,50,"228","713.336"
"74",0.02,100,2,0.4,8,0.4,1.27283085063085,3.11318825618258,0.810052238502239,1.31655940104034,0.0161066666666667,0.000123216361009225,0.0213133333333333,0.00074605717461376,0.0137866666666667,0.000355179548738468,100,"126","394.212"
"75",0.02,100,2,0.1,8,0.2,0.733161111111111,1.64773349488315,0.60188253968254,1.17556969582957,0.0141333333333333,8.60775814160276e-05,0.0118466666666667,0.000373581015894187,0.00992666666666667,0.000276753540068912,10,">=1000",">=1000"
"76",0.02,100,2,0.1,8,0.2,0.733161111111111,1.64773349488315,0.60188253968254,1.17556969582957,0.0141333333333333,8.60775814160276e-05,0.0118466666666667,0.000373581015894187,0.00992666666666667,0.000276753540068912,50,">=1000",">=1000"
"77",0.02,100,2,0.1,8,0.2,0.733161111111111,1.64773349488315,0.60188253968254,1.17556969582957,0.0141333333333333,8.60775814160276e-05,0.0118466666666667,0.000373581015894187,0.00992666666666667,0.000276753540068912,100,">=1000",">=1000"
"78",0.02,100,2,0.1,8,0.4,0.71383373015873,1.5716871121438,0.485762169312169,0.877797884437936,0.01415,9.41088696232077e-05,0.0114366666666667,0.000351219728798488,0.00797,0.000207514938312771,10,">=1000",">=1000"
"79",0.02,100,2,0.1,8,0.4,0.71383373015873,1.5716871121438,0.485762169312169,0.877797884437936,0.01415,9.41088696232077e-05,0.0114366666666667,0.000351219728798488,0.00797,0.000207514938312771,50,"592","2210.33066666667"
"80",0.02,100,2,0.1,8,0.4,0.71383373015873,1.5716871121438,0.485762169312169,0.877797884437936,0.01415,9.41088696232077e-05,0.0114366666666667,0.000351219728798488,0.00797,0.000207514938312771,100,"275","1026.75833333333"
