"","E_It","N","R0","k","effect","inter_day","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","approx","sufficient_ncluster","adjusted_sufficient_ncluster"
"70",0.02,100,2,0.4,0.2,7,1.20849193121693,2.52804125603595,0.997132407407407,1.91244039844345,0.01491,8.76877959319773e-05,0.0191233333333333,0.000610001456040903,0.0158433333333333,0.000462376247638102,50,1475.56124228636,"814","2259.39266666667"
"71",0.02,100,2,0.4,0.2,7,1.20849193121693,2.52804125603595,0.997132407407407,1.91244039844345,0.01491,8.76877959319773e-05,0.0191233333333333,0.000610001456040903,0.0158433333333333,0.000462376247638102,100,1229.79783830263,"549","1523.841"
"72",0.02,100,2,0.4,0.4,8,1.28142076719577,2.56966053328348,0.840028703703704,1.37760768759779,0.01645,0.000122404968322774,0.0215033333333333,0.000662327431366011,0.0143933333333333,0.00036755447371346,10,687.18983323229,"529","1596.522"
"73",0.02,100,2,0.4,0.4,8,1.28142076719577,2.56966053328348,0.840028703703704,1.37760768759779,0.01645,0.000122404968322774,0.0215033333333333,0.000662327431366011,0.0143933333333333,0.00036755447371346,50,294.775066678875,"170","513.06"
"74",0.02,100,2,0.4,0.4,8,1.28142076719577,2.56966053328348,0.840028703703704,1.37760768759779,0.01645,0.000122404968322774,0.0215033333333333,0.000662327431366011,0.0143933333333333,0.00036755447371346,100,245.723567519484,"115","347.07"
"75",0.02,100,2,0.1,0.2,8,0.789290873015873,1.8530603752572,0.695415873015873,1.46126750729961,0.01437,8.78990663554518e-05,0.0128933333333333,0.00042023536734467,0.01131,0.000343298332777593,10,16105.5505921357,">=1000",">=1000"
"76",0.02,100,2,0.1,0.2,8,0.789290873015873,1.8530603752572,0.695415873015873,1.46126750729961,0.01437,8.78990663554518e-05,0.0128933333333333,0.00042023536734467,0.01131,0.000343298332777593,50,9444.94186032548,">=1000",">=1000"
"77",0.02,100,2,0.1,0.2,8,0.789290873015873,1.8530603752572,0.695415873015873,1.46126750729961,0.01437,8.78990663554518e-05,0.0128933333333333,0.00042023536734467,0.01131,0.000343298332777593,100,8612.36577089724,">=1000",">=1000"
"78",0.02,100,2,0.1,0.4,9,0.860863095238095,1.81358134595744,0.575930555555556,0.939457158429069,0.0154466666666667,0.000124308591752806,0.0144733333333333,0.000438001956207625,0.01021,0.000268011903967989,10,1575.0788914924,"985","3903.555"
"79",0.02,100,2,0.1,0.4,9,0.860863095238095,1.81358134595744,0.575930555555556,0.939457158429069,0.0154466666666667,0.000124308591752806,0.0144733333333333,0.000438001956207625,0.01021,0.000268011903967989,50,924.880103176725,"314","1244.382"
"80",0.02,100,2,0.1,0.4,9,0.860863095238095,1.81358134595744,0.575930555555556,0.939457158429069,0.0154466666666667,0.000124308591752806,0.0144733333333333,0.000438001956207625,0.01021,0.000268011903967989,100,843.605293029264,"205","812.415"
